title,year,creator,tags,summary,url,thumbnail
Scarlet Street,1945,"Fritz Lang, Walter Wanger",Film-Noir | Drama | Black Comedy | Fritz Lang,"German director Fritz Lang is best known for the highly influential films from relatively early in his career, especially Metropolis (1927) and M (1931). But he also had a brief Hollywood heyday during the mid 1940s, when he made some of…",https://archive.org/details/ScarletStreet,https://archive.org/services/img/ScarletStreet
Sex Madness,1938,Dwain Esper,sex | exploitation,From the makers of Reefer Madness comes Sex Madness. A film demonstrating that sex can be just as detrimental as marijuana.,https://archive.org/details/sex_madness_ACM,https://archive.org/services/img/sex_madness_ACM
The Flying Deuces,1939,Boris Morros,Comedy | Laurel And Hardy,"This was the first comedy that Laurel and Hardy starred in without producer Hal Roach, although they had previously been ""guest stars"" in four MGM movies. After they finished making ""The Flying Deuces,"" they returned to Hal Roach Studios…",https://archive.org/details/TheFlyingDeuces,https://archive.org/services/img/TheFlyingDeuces
Meet John Doe,1941,,Comedy | pdmovies,You can find more information regarding this film on its IMDb page .,https://archive.org/details/meet_john_doe,https://archive.org/services/img/meet_john_doe
"Charlie Chaplin's "" The Pawnshop""",1916,,Charlie Chaplin | Silents,Charlie Chaplin's 56th Film Released Oct 02 1916. The Pawnshop was Charlie Chaplin's sixth film for Mutual Film Company. Chaplin played the role of assistant to the pawnshop owner. Henry Bergman played the owner and Edna Purviance the…,https://archive.org/details/CC_1916_10_02_ThePawnshop,https://archive.org/services/img/CC_1916_10_02_ThePawnshop
"Little Princess, The",1939,,,You can find more information regarding this film on its IMDb page . This film contributed courtesy of SabuCat Productions .,https://archive.org/details/little_princess,https://archive.org/services/img/little_princess
Impact,1949,,pdmovies,"""Wealthy businessman survives attempt by wife to have him killed, makes it look like she succeeded and starts a new life in small town as auto mechanic. Variation on idea elevated to noir importance by The Killers (1946), where victim of…",https://archive.org/details/impact,https://archive.org/services/img/impact
Cyrano De Bergerac,1950,Stanley Kramer,Drama,"From: IMDb : France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano…",https://archive.org/details/Cyrano_DeBergerac,https://archive.org/services/img/Cyrano_DeBergerac
Cosmos: War of the Planets,1977,Louis Alex,sci-fi | robots | technology | dubbed,A spaceship intercepts a mysterious message and then crashes on the planet the message is being sent from. There they uncover a force that threatens to take over the Earth. There is an AVI of the film here . You can find out more about…,https://archive.org/details/Cosmos_War_of_the_Planets,https://archive.org/services/img/Cosmos_War_of_the_Planets
Horror Express,1973,,horror | Peter Cushing | Christopher Lee | Telly Savalas,"In 1906, on a train racing through Siberia, Christopher Lee and Peter Cushing are engulfed in nightmare when a frozen missing link comes to life. You can load the mpeg2 file into DVDAuthorGUI (a free program) and, with the push of a…",https://archive.org/details/Horror_Express,https://archive.org/services/img/Horror_Express
Tarzan and the Green Goddess,1938,,adventure,You can find more information regarding this film on its IMDb page .,https://archive.org/details/tarzan_and_the_green_goddess,https://archive.org/services/img/tarzan_and_the_green_goddess
Carnival of Souls,1962,,Thriller | Horror,Atmospheric 60s B-horror film with a cult following. Mary Henry is enjoying the day by riding around with two friends but everything goes wrong when challenged to a drag race and their car gets forced off of a bridge. The car sinks into…,https://archive.org/details/CarnivalofSouls,https://archive.org/services/img/CarnivalofSouls
